V1,V2,V3,V4,V5,label(nasal_phoneme:1;oral_phoneme:2)
-0.812631,-1.11416,-0.191122,1.98311,-1.268767,1
-0.224961,1.243845,0.001258,0.015145,-0.666459,1
2.401259,-0.425955,-0.291392,0.096177,-0.332696,1
0.164118,-0.198431,-0.272261,0.898545,1.130628,2
-0.395159,0.285966,1.870173,-1.369024,0.562583,2
2.988859,-1.832716,-0.679191,-0.598986,-0.232794,1
0.314062,0.192577,-1.244567,-0.655322,0.019301,1
-0.639741,-0.352328,0.996116,1.64021,-0.136583,1
2.040191,-1.755186,-0.609479,-0.328021,-0.366996,1
0.107902,1.205423,-1.311669,-0.70059,-0.307987,1
-0.335367,0.99398,-1.255436,-0.753286,-0.31537,1
-0.807595,-0.83535,0.032907,0.548498,-0.136583,2
0.063828,2.081274,-1.362071,-0.195148,0.696516,1
-0.532695,-0.670115,0.808365,0.376524,0.767549,2
-0.411545,1.199125,1.145646,0.476639,-0.576558,1
-0.773546,-0.875452,-0.29734,-1.284885,-0.136583,1
-0.591755,0.275697,-0.36948,-0.119276,-0.332922,1
1.040169,0.593419,-0.420639,0.140444,0.8875,1
0.274457,-0.087028,-0.510209,-0.272302,-0.381676,1
-0.281776,2.455362,-1.497818,-0.808659,-0.136583,1
-0.643959,-0.643103,0.256785,0.927884,0.794053,2
-0.635433,0.891731,1.084161,0.374338,-0.136583,1
-0.461169,0.613782,-1.57895,0.115567,1.785273,1
-0.831003,-0.781418,-0.474497,-1.514571,-0.136583,2
2.637794,-0.56079,-1.005609,-0.610595,-0.242117,1
0.000655,0.968564,-0.295023,-0.145701,-0.467262,1
-0.41349,0.626813,1.524918,-1.149799,-0.705259,1
0.318616,0.508701,-0.345005,-0.892794,2.657375,1
-0.098427,-0.718572,0.672396,0.19748,0.64713,2
-1.038974,-1.772421,-1.307283,1.431832,-2.193249,2
-0.641822,1.063658,0.24433,0.290601,-0.136583,1
-0.790018,-0.727319,0.170056,1.883654,-0.136583,2
-0.392413,-0.401279,0.724621,-1.548729,-1.46076,2
0.406,1.054739,-1.13836,-0.653154,0.052571,1
-0.761969,-0.26818,1.277293,-1.183757,-0.532343,1
0.171929,1.13491,-1.141332,-0.682468,-0.32167,1
0.917569,1.23696,-1.23777,-0.222339,0.146831,1
0.043557,0.723634,0.454919,-0.041149,-0.136583,1
-0.65695,2.216823,-1.373969,1.098361,-0.805723,1
-0.305798,2.575683,-1.471387,-0.807948,-0.402888,1
-0.781721,-0.566127,0.830172,1.59809,-0.136583,1
-0.278583,0.583255,0.348385,-0.081619,-0.136583,1
-0.522058,1.251882,-1.319068,-0.711409,-0.281255,1
1.265175,-0.906316,-0.963455,-0.401391,-0.010905,1
-0.753362,-0.358972,1.389943,-1.476504,-1.130669,1
-0.859294,-1.115657,-0.345765,-1.375103,3.031632,1
-0.438212,-0.650845,-0.006465,1.093553,1.462216,2
0.078875,1.067347,-0.127798,0.095259,1.817099,1
0.015602,1.706552,-1.516653,-0.02279,-0.136583,1
2.746129,-1.802384,-0.945815,-0.387828,-0.265349,1
-0.556506,-0.295628,2.316463,-1.470319,0.542526,1
0.158397,0.218274,0.911236,0.398116,1.061025,2
1.259586,-0.888911,-0.623273,-0.310994,-0.400209,1
-0.464874,1.333898,0.641092,0.346698,-0.136583,1
-0.700087,-0.704671,0.305573,2.253595,-1.706573,2
-0.386628,1.419439,-1.288349,-0.767624,-0.346717,1
0.060941,-0.349544,0.759739,0.920327,2.189254,2
-0.814265,-0.958308,-0.474786,-0.899808,1.433597,2
-0.571836,-0.198208,1.381882,0.833337,1.675774,2
1.086563,0.247626,0.53646,-1.048645,0.988874,2
0.440202,0.162767,-0.444774,-0.269081,0.070634,1
-0.793709,-0.869537,-0.005438,1.521558,-0.136583,2
-0.146509,0.533365,-1.343326,-0.778144,-0.407497,1
-0.743568,-0.496537,1.360551,0.824549,-0.136583,1
-0.463885,-0.239756,1.664345,-1.187615,0.461837,1
0.643327,0.213809,-1.136985,-0.29058,-0.433646,1
-0.208894,1.414257,0.397584,-0.921325,-0.136583,1
-0.336226,0.01622,0.256839,0.419887,-1.338629,2
-0.459869,-0.604049,0.001747,1.037585,1.717954,2
-0.361637,1.971846,-1.364793,-0.170906,-0.412964,1
1.323715,0.080822,0.059933,0.06528,-0.581594,1
-0.756117,0.114133,0.060231,-0.083094,-0.136583,1
-0.543415,0.668902,-1.233232,-0.707262,-0.136583,1
-0.739543,-0.896713,-0.270589,0.902223,1.785499,2
1.178268,1.753294,-1.228453,-0.713057,-0.308638,1
-0.184728,-0.438948,0.851221,-1.034197,0.462539,2
-0.640781,-0.151736,1.560631,-1.487612,-0.697156,1
1.828565,-0.728037,-0.941984,-0.337722,-0.22871,1
-0.601688,-0.796831,1.368807,0.908099,2.309403,2
0.437815,-2.462935,-1.113992,-0.320023,-0.285829,1
1.906296,-0.346081,-0.08491,0.564721,-0.582359,1
-0.676116,-0.920422,0.504593,1.554464,1.226415,1
-0.545993,-0.792215,0.154189,2.245686,2.698704,2
-0.311945,1.233094,-1.385168,-0.738461,-0.349058,1
-0.500596,-0.832882,0.143057,0.91828,-0.136583,2
-0.422827,1.241119,1.196649,0.382226,-0.645595,1
-0.114416,-0.888874,0.114758,2.038161,-1.115077,1
0.048561,0.648398,-1.140631,-0.234463,-0.580962,1
-0.134299,-0.587999,0.811888,1.890847,-1.613428,2
3.352419,-0.966021,-0.944017,-0.603822,-0.209933,1
0.348357,1.490856,-1.200923,-0.690733,0.191112,1
-0.850033,-0.755647,0.741337,1.468679,-0.136583,1
-0.778757,-0.236983,-0.129084,1.15414,1.873873,2
-0.862129,-1.156826,-0.391398,0.951801,2.708467,1
-0.353587,-0.94253,1.026188,0.827135,-0.762208,2
-0.617183,-0.500951,1.080801,0.547372,0.713432,1
-0.689987,-0.531124,1.494078,-1.382655,0.550403,1
-0.007934,-0.584056,1.595977,-1.49431,0.566877,1
-0.660014,1.456087,-1.398777,-0.064528,-0.374922,1
0.719207,0.764935,0.883822,0.205913,-0.423742,2
-0.490572,0.338924,0.500347,0.084219,-0.603002,1
0.52591,0.569379,-1.166201,-1.008378,2.45839,1
-0.419657,-0.84388,1.290692,0.888476,-1.500526,2
0.484547,0.866515,-1.214319,-0.23663,0.10831,1
2.897154,-0.888314,-1.011492,-0.696013,0.902268,1
-0.565643,0.038897,0.279574,0.07099,-0.482734,1
2.610114,-0.792976,-0.584646,-0.09161,-0.290287,1
-0.503492,-0.922614,0.949435,2.932916,-1.221231,2
-0.561951,-0.450408,1.956965,1.180806,-1.104984,1
0.059106,1.187915,0.958166,0.297796,-0.469915,2
-0.476777,-0.293207,1.360551,-1.197573,-0.608079,1
1.462909,1.038137,-0.243419,0.073677,0.385998,1
-0.710853,-0.935633,-0.120084,0.918243,-0.136583,2
-0.772159,-0.145003,0.838762,-1.06364,-0.50836,1
-0.66798,-0.830487,-0.19867,-1.163424,-0.136583,1
2.600716,-1.752882,-0.651474,-0.598629,-0.260203,1
-0.560158,-0.918325,1.141108,0.994624,1.594951,1
-0.61959,-0.85467,-0.074209,1.862813,-0.136583,2
-0.712059,-0.854212,-0.105827,1.068519,4.22589,1
2.864874,-0.836867,-0.48364,0.080825,0.152061,1
0.345108,-1.090301,0.513076,2.058713,1.678258,2
1.448458,-1.036451,-0.671663,-0.364489,0.036488,1
0.574505,-0.031709,-0.358881,-0.029576,-0.815318,1
-0.786055,-0.641559,1.067834,1.001591,-0.136583,1
-0.637317,0.607719,0.705149,0.132349,-0.555235,1
2.716166,-1.843314,-0.49373,0.268127,-0.434315,1
0.211388,0.564091,0.135089,-0.036787,-1.176583,1
-0.054138,2.039832,0.194468,-0.904133,0.217673,1
-0.841948,-0.969984,-0.144009,2.13075,-1.693309,2
-0.57685,-0.401797,0.35985,2.53504,-1.629842,2
0.977018,0.127187,-1.044926,-0.32512,0.094394,1
-0.801669,-0.891051,0.575036,1.634009,-1.06743,1
0.36105,1.120963,0.055812,0.315087,-0.893974,1
-1.075429,-0.66067,0.752327,-0.500597,-0.136583,2
-0.275051,2.075105,0.241933,-0.879372,-0.402292,1
-0.643204,-0.625454,-0.094549,1.768605,2.452709,1
-0.623362,-0.331946,2.138167,-1.487652,-0.818241,2
-0.103089,1.96113,-1.362597,-0.738182,-0.368374,1
-0.652698,0.141758,1.21074,0.502427,-0.136583,1
-0.501176,2.270486,-1.365357,-0.756133,-0.373544,1
2.674302,-0.807674,-0.572598,-0.593957,-0.211376,1
-1.042792,-1.683042,-0.360132,-1.090096,-0.136583,1
1.485722,-0.457798,-0.970772,-0.372077,0.042907,1
-0.033683,1.096347,-1.297956,-0.169683,-0.4241,1
1.285356,-0.344572,-0.432026,-0.122164,1.86364,1
0.753956,-0.393533,-1.011846,-0.592087,-0.004354,1
-0.686507,-0.94751,-0.260938,1.34439,1.681055,1
-0.295809,2.45085,-1.481416,0.442151,-0.605544,1
-0.426546,-0.80098,0.653875,1.862888,-1.103579,1
0.37563,0.715056,-1.205196,-0.703029,-0.328469,1
-0.743413,-0.915945,1.154615,-1.661641,-0.809268,2
-0.327048,-0.228405,0.81178,-0.888281,0.188317,1
0.593021,0.817752,-1.355203,-0.249871,0.309018,1
-0.785897,-0.470651,1.661957,-1.401603,-1.066096,1
-1.122341,0.194515,1.051701,-1.502403,-0.136583,1
-0.600706,0.196384,0.2303,-0.089616,0.135407,1
-0.79122,-0.308479,1.586241,-1.405747,-0.624088,1
-0.632476,-0.178127,1.582297,0.981216,-0.136583,1
-0.502384,1.537233,-1.289894,-0.82755,-0.356922,1
-0.830244,-0.57236,-0.473294,0.917904,1.546036,2
-1.087239,-0.659795,0.601338,1.650467,-0.136583,2
-0.660999,-0.225245,-0.347588,0.092246,0.635516,1
0.498579,1.235186,-1.173427,-0.69806,0.289821,1
-0.68389,0.0459,0.775354,-1.10606,-0.586297,1
-0.23888,1.436923,0.506798,0.19347,-0.456138,1
0.576543,1.022344,-1.303301,0.044273,1.633037,1
-0.387248,-0.1668,-0.248872,-1.237488,1.885495,2
-0.746265,-1.12752,-0.269243,0.908902,1.664707,2
0.359711,-0.534084,-0.995089,-0.363881,-0.136583,1
-0.664236,-0.258591,2.630868,-1.517289,-0.783283,1
-0.685148,0.360391,0.593071,0.093958,-0.576082,1
2.332856,-1.108192,-0.930716,-0.386423,-0.243651,1
-0.710812,-0.75468,0.127718,1.179814,1.087496,2
-0.773156,-0.946335,0.311635,2.122225,-1.369983,1
2.856454,-0.641177,-0.968212,-0.60793,-0.226683,1
-0.706015,0.222833,0.245164,-0.076268,-0.136583,1
-0.663508,0.045195,2.113055,-1.407535,-0.803006,1
-0.168119,0.942162,-0.068362,-0.189778,-0.347291,1
-0.575799,0.020367,-0.232084,-0.026057,0.53167,1
-0.271008,1.350278,-1.496625,-0.836291,-0.424866,1
-0.590094,-0.847286,0.536244,0.47479,-0.136583,2
0.240838,1.088697,-1.408654,-0.242357,0.300872,1
-0.40365,1.247735,1.034141,0.397916,-0.658153,1
-0.2938,-0.464562,1.312541,-1.12341,0.58675,2
-0.804813,-0.969469,-0.276851,2.061537,-0.136583,1
1.553392,-0.155414,-0.438941,-0.632981,-0.243444,1
-0.706436,-0.025681,0.090077,0.86972,-0.895676,1
-1.144901,0.271479,1.260036,0.377287,-0.136583,1
-0.730576,-0.729828,-0.287784,0.415801,1.981409,2
-0.199499,-0.910812,0.011977,1.900841,-1.176951,1
-0.600883,0.889968,-1.310964,-0.117855,-0.350425,1
0.187945,1.298072,-1.361924,-0.733595,-0.326239,1
0.234841,1.192697,-1.388669,-0.739041,-0.34572,1
-0.646664,-0.058452,1.836286,-1.340097,-0.667241,1
-0.739538,-0.979361,0.202681,2.588635,-1.605253,1
-2.110076,-2.424552,-1.144534,-0.690593,-0.330983,1
-0.627655,-0.830194,-0.043157,1.917601,-1.496414,2
-0.674274,-0.224728,1.752607,-1.437855,-0.652924,1
-0.553998,0.528289,-0.175836,-0.18713,0.103339,1
1.921214,-1.103319,-0.703855,-0.398271,-0.026612,1
0.427695,1.543649,0.364313,-0.068908,0.200415,2
1.732971,0.864576,-1.127938,-0.681879,-0.288218,1
-0.630206,-0.633365,-0.34874,0.971109,-1.071373,2
-0.523255,-0.13605,1.54587,-1.178357,-1.139839,2
-0.732438,-0.319445,1.682229,-1.324677,-0.620594,1
-0.246494,1.778721,-1.202588,-0.711427,0.115107,1
0.397476,-0.026445,-1.083604,-0.617486,-0.236907,1
0.544915,0.916793,-1.285285,-1.097911,1.985561,1
2.058195,-0.757919,-0.620944,-0.296834,0.039731,1
-0.795348,-0.578955,-1.457086,2.323235,-0.136583,2
0.209429,1.866365,0.176962,0.048801,-0.386402,2
-0.147945,-0.092974,0.973424,0.356246,-0.526362,1
-0.026021,1.102233,-1.344102,-0.738755,-0.136583,1
-0.679586,-0.85946,-0.414259,0.660314,1.511739,1
-0.514324,-0.538363,1.75748,-1.433803,-1.01521,2
0.016402,1.389652,0.822046,0.047032,-0.418695,2
-0.776283,-0.737382,0.62336,2.061186,-0.136583,1
1.99665,-1.024503,-0.133503,0.778348,-0.724702,1
-0.607807,-0.702996,1.783932,-1.490905,1.634775,2
-0.205608,0.958001,-1.27882,-0.727524,-0.317311,1
1.993448,-1.023942,-0.134886,0.778336,-0.721535,1
-0.770802,-0.491341,0.158893,2.039278,-1.333803,1
0.778655,0.835542,-0.269611,0.99446,-0.707465,1
-0.127305,2.23634,-1.251515,-0.820675,1.014114,1
0.236168,0.409636,-1.094783,-0.637182,0.053996,1
1.386797,-0.221273,-0.438409,-0.607618,-0.224869,1
-0.84335,-0.993798,-0.435235,0.182416,-0.136583,1
0.314808,1.091188,0.381094,0.217242,1.340127,1
0.358826,1.168845,-1.149792,-0.285145,-0.414844,1
2.158482,-0.502745,0.427138,-0.887709,-0.351776,1
-0.221603,1.661761,0.262944,0.004875,-0.443363,1
-1.134392,0.451795,0.626515,0.277241,0.510236,1
0.407421,1.551016,-1.397822,0.408816,0.710348,1
-0.425147,-0.563631,0.763802,0.96487,-0.827114,2
-0.450872,-0.756243,1.313784,-1.356718,0.656671,2
0.381127,0.19629,0.972656,-1.083694,1.332497,2
-0.301688,0.097107,1.246842,-1.114302,-0.495249,1
-0.79602,-0.680303,0.44111,1.447349,-0.136583,2
0.882029,0.410024,-1.154721,-0.651956,0.051345,1
-0.689006,-0.228394,1.660639,0.893247,-0.751814,1
-0.609299,-0.204788,1.502269,-1.24859,-0.675366,2
-0.651838,0.181379,0.240779,-0.937302,0.290301,1
1.494386,-1.061397,-0.925608,-0.381904,-0.218037,1
-0.73668,-0.907293,-0.514115,0.369482,-0.136583,2
-0.866736,-1.03673,-0.490765,0.031894,-0.136583,1
-0.608819,-0.142254,1.894443,-1.723184,-0.136583,1
-0.52404,0.063819,0.692052,-1.221839,-0.681202,2
-0.601638,-0.403891,1.905876,-1.338665,-1.03942,2
-0.70237,0.392974,0.383774,0.147194,-0.136583,1
-0.183305,-0.466579,0.644139,0.537706,-1.519981,2
-0.77721,-0.511336,0.497537,2.083382,-0.136583,1
-0.256395,1.494075,-1.345751,-0.931043,1.786732,1
-0.762375,-0.825578,-1.564097,2.038425,-0.136583,1
0.391549,1.127285,0.979918,-0.8941,-0.425168,2
-0.697082,-0.645604,0.306426,1.132095,-1.389327,2
-0.278393,2.484526,-1.43759,-0.808405,-0.39103,1
2.800069,-0.658572,-0.966708,-0.577747,-0.216652,1
-0.68491,1.371545,-0.096295,1.7272,-1.082608,1
0.139931,0.165904,0.888425,1.135585,-0.927862,2
-0.768859,-1.03492,-0.329043,-1.255289,2.980608,1
0.469152,-0.090624,-1.026882,-0.624918,-0.230049,1
1.859506,-0.445037,-0.974168,-0.383005,-0.197457,1
-0.756473,-0.997478,-0.302147,-1.31113,3.20864,1
0.415561,0.957907,-1.18918,-0.181573,-0.371604,1
-0.589536,-0.711003,0.97177,0.489775,1.009166,2
-0.085894,1.835697,-1.370105,-0.813685,1.399462,1
-0.811407,-0.81941,0.175622,-0.500597,-0.136583,2
-0.074169,0.021883,-1.147021,-1.03549,3.168805,1
2.444206,-0.310801,-0.021467,-0.686288,-0.274638,1
-0.475901,1.052342,0.556753,0.548657,1.634809,2
0.244995,0.745536,-0.115589,-1.042665,1.869703,1
-0.776768,-0.86836,0.167773,1.573421,-1.438254,2
0.686158,0.626496,-1.197832,-0.655752,-0.277196,1
2.632321,-0.902388,-0.960456,-0.606303,-0.013186,1
-0.793877,-0.788898,0.39566,0.338071,0.808364,2
2.162465,-1.117568,-0.339941,0.733386,-0.528825,1
-0.785084,-1.019048,-0.311302,2.247619,-1.719613,1
-0.033149,1.323993,-1.261445,-0.198704,0.148284,1
-0.641959,0.400283,-0.057281,-0.149107,-0.326982,1
-0.356886,0.934172,-1.233334,0.092754,2.381533,1
1.28007,-0.053047,-0.544602,-0.357984,-0.252127,1
0.311512,-0.112197,-1.119856,-0.648619,-0.241273,1
-0.7202,-0.58121,0.137166,1.05717,-1.477085,2
-0.430527,0.757168,-1.16048,-0.220955,-0.293327,1
-0.851995,-1.124144,-0.497534,0.170726,-0.136583,1
-0.098315,1.907279,0.269849,-0.946429,0.239203,1
-0.581685,-0.272339,1.783824,1.201609,-0.136583,1
-0.325499,-0.827224,1.385145,1.064552,2.570929,2
-0.612558,-0.236419,2.019801,-1.449943,-0.136583,1
-0.189601,2.394085,-1.425312,0.406458,0.519358,2
-0.318363,-0.951294,1.393358,0.674449,2.711056,2
-0.736789,-0.657865,-0.270711,0.499804,-0.136583,2
-0.695242,0.308198,0.600711,-1.145821,-0.136583,1
0.269916,0.944582,-1.287333,-0.211195,-0.365151,1
-0.861735,-1.134381,0.127383,-0.916981,-0.864319,2
-0.507112,2.013923,-1.398481,-0.802688,-0.401825,1
2.405964,-1.810562,0.644993,0.13132,-0.511672,1
0.200631,2.029456,0.073497,0.312913,0.409543,1
-0.576146,-0.108801,1.388095,0.694654,-1.312998,2
-0.329331,1.910745,0.262782,0.065843,-0.136583,1
-0.609665,-0.396874,0.389793,0.777947,-0.136583,2
-0.813305,-0.794918,0.652362,2.293229,-0.136583,1
-0.711667,-0.424733,-0.028509,1.557916,-1.263006,2
-0.060235,-0.11074,-0.460082,-0.625965,-0.248979,1
-0.800612,-1.108298,-0.294636,-1.609158,-0.136583,1
3.828575,-0.766269,-0.941616,-0.559184,-0.194491,1
-0.726402,-0.986231,1.226398,1.066134,2.417182,2
-0.705733,-0.220451,1.337654,-1.265697,-0.533964,1
2.443566,-0.294852,-0.292447,0.041452,0.531416,1
-0.75083,-0.376658,-0.271624,0.876336,1.402128,2
-0.785588,-1.086053,-0.314435,1.593784,-0.136583,1
-0.125956,1.707093,0.70249,-1.053162,-0.48374,1
-0.742438,-0.14941,1.376155,-1.203511,-0.136583,1
0.960761,0.847891,-0.200377,1.071846,-0.645878,1
-0.743384,-0.880936,-0.015474,1.972991,-0.136583,1
-0.428909,0.204104,-1.218598,-0.749326,-0.464432,1
3.101991,-0.916837,-0.971642,-0.365206,0.006161,1
-0.528298,-0.449842,0.146706,1.394256,-0.136583,2
-0.896988,-1.116595,-0.462389,-1.062046,-1.107242,1
-0.087219,0.289574,0.156261,0.047661,0.26484,1
-0.815784,-1.027629,-0.383275,0.721119,2.230722,1
1.292157,-0.506779,-0.634214,-0.29549,0.13932,1
-0.214887,2.104269,-1.463575,0.59914,-0.707988,1
0.247872,1.442539,-1.356603,-0.149271,0.91741,1
-0.863489,-1.582094,-0.613889,-0.909957,-0.136583,2
-0.283074,-0.832066,1.291351,0.959484,2.626261,2
-0.75705,0.214032,0.542705,0.18406,-0.509205,1
-0.571836,-0.198208,1.381882,0.833337,1.675774,2
-0.114479,0.251292,1.238554,0.435902,2.117627,2
-0.531105,-0.536165,0.25551,1.467336,-1.762224,2
0.513904,-0.662019,-0.958142,-0.360426,0.053329,1
2.127984,-0.328012,-0.987114,-0.61601,-0.203635,1
2.937399,-1.802774,-0.94114,-0.587053,-0.225673,1
-0.482332,2.111719,-1.484801,-0.881991,-0.607664,1
0.157746,0.217734,0.910707,0.397947,1.060141,2
-0.61852,-0.013649,2.265016,-1.648617,-0.773226,1
-0.023376,1.585996,-1.296889,-0.82898,-0.563117,1
1.342709,1.576173,-1.269996,-0.120446,0.211617,1
-0.628652,0.159982,2.399159,-1.444064,-0.136583,1
-0.839037,-1.118049,-0.377525,0.810902,-0.836738,2
-0.740472,-0.726656,-0.051209,1.888098,-1.419064,1
-0.126043,1.397689,-1.333847,-0.180313,0.151454,1
-0.629208,-0.431371,1.846984,-1.166508,-0.66932,1
-0.204202,0.696597,-1.371774,-0.232587,-0.336944,1
-0.543362,-0.116556,0.944108,0.279145,-1.066195,1
-1.782319,-0.911734,-0.646438,-0.315162,-0.278753,1
0.320514,1.282585,-1.200638,-0.271283,-0.323598,1
-1.731297,-2.312695,-1.249343,-0.679553,-0.290878,1
-0.365544,0.787037,1.819419,-1.285989,-0.69344,1
-0.536734,-0.925142,1.353387,0.638266,0.540705,2
-0.610891,-0.216702,-0.020165,0.893987,-1.534247,2
-0.665968,-0.104548,1.389424,-1.203707,0.858844,1
-0.800229,-0.943745,-0.34875,-1.125293,1.736473,2
-0.594961,-0.063881,0.794664,0.21349,-0.692216,1
0.988011,0.015891,-1.085315,-0.244402,0.14602,1
-0.83006,-0.944409,0.242752,1.693981,-0.136583,1
1.854243,0.040448,-0.549536,-0.216887,-0.315395,1
0.019725,1.713144,0.817658,-0.957645,-0.437595,2
2.734716,-0.857126,-0.980812,-0.28467,-0.246612,1
-0.64385,-0.917078,1.304383,0.755411,0.90932,2
-0.624125,-0.143887,2.084765,-1.330685,1.201514,2
-1.125237,-0.276557,1.291384,0.630143,-0.136583,1
-0.313082,1.161654,-0.02255,0.130975,-0.767182,1
-0.411935,-0.893117,1.584382,0.678091,0.886073,2
-0.446392,-0.757953,0.214977,2.396377,-1.817542,1
-0.431419,0.89958,0.145228,-0.086655,-0.136583,1
-0.567617,0.025702,0.147265,1.916659,-1.12358,2
0.702846,1.374835,0.25365,0.193762,-0.408605,1
3.335825,-1.054289,-0.93471,-0.588374,-0.045485,1
2.797251,-0.880493,-0.989845,-0.300261,-0.241311,1
3.314665,-0.513473,-0.996691,-0.609571,-0.232785,1
0.429803,1.72292,-1.334548,-0.73461,0.541666,1
0.123177,1.227207,-1.266718,-0.681489,-0.282288,1
-0.306924,1.102269,-1.190529,-0.250203,-0.389617,1
-0.698536,-0.818258,-0.188597,1.240728,-0.136583,2
1.545426,-0.962949,-0.654179,-0.339108,-0.377828,1
-0.595496,1.590438,-1.384855,-0.160288,0.165159,1
0.182769,-0.471621,1.447635,0.409474,0.503551,1
-0.716611,-0.812639,1.941816,-1.315942,0.55488,1
-0.535376,-0.237183,1.735328,-1.481625,-0.819767,1
-0.471265,-0.800623,0.241027,0.885475,-0.136583,2
-0.847626,-1.05581,-0.289216,-1.872634,-0.136583,1
1.633289,-0.023778,-0.446447,-0.316282,-0.301023,1
1.708923,0.07349,-0.074452,-0.715068,0.218108,1
0.84325,0.863906,-1.131907,-0.659397,0.042556,1
-0.144891,0.780163,-1.11772,-0.661859,-0.258762,1
2.840908,-0.715664,-0.63629,-0.359729,-0.25117,1
-0.190068,0.242256,1.081968,0.363807,-0.576721,1
-0.463147,0.276754,0.645447,1.702167,-0.136583,2
-0.729998,0.393609,1.674092,-1.371444,-0.136583,1
-0.724597,0.886008,1.195482,-1.254308,-0.543764,1
-0.513828,0.562458,0.338919,-1.058967,-0.136583,1
0.071627,1.038806,-0.236065,-0.116003,-0.542612,1
0.169674,0.06879,-1.14511,-0.652717,-0.25311,1
2.441575,-0.845564,-0.962421,-0.344193,-0.240143,1
-0.693454,-0.89498,0.31304,0.879361,-0.136583,2
-0.666283,-0.720764,0.035078,1.657962,1.560778,1
-0.829076,-1.156631,-0.461957,1.289101,2.994958,1
0.460325,0.537653,-1.088466,-0.636273,0.037225,1
-0.212816,-0.539598,1.275704,0.424374,0.492359,1
-0.560116,-0.202132,2.189009,-1.535168,-0.798506,1
-0.830108,-1.023969,0.075727,0.301364,-0.136583,2
-0.672905,0.734702,-0.296558,-0.158885,-0.315654,1
-0.732679,-0.896573,0.138165,1.735373,-1.017187,1
-0.557847,-0.589777,1.726165,0.623859,0.758276,1
-0.702161,-0.543436,0.029138,1.698601,-0.136583,2
-0.057522,1.453655,-1.260722,-0.199437,0.14619,1
-0.689161,-0.757967,0.952547,-2.030907,-0.86686,1
-0.796949,-0.767461,0.624592,2.361752,-0.136583,1
0.058962,1.304593,-1.336331,-0.749585,-0.35716,1
-0.719607,0.344259,0.069833,-0.094823,0.181224,1
-0.639405,-0.695677,1.147667,0.802265,-0.929438,1
-0.772263,-0.682576,0.598874,0.646482,-0.136583,2
0.642547,-0.344821,-0.015305,0.300872,0.42745,2
2.917964,-0.670206,-0.969887,-0.612595,-0.234584,1
-0.538641,-0.151642,1.879261,-1.352245,-0.735058,2
-0.769063,-0.271035,1.196941,-1.465146,-1.096473,1
-0.493375,-0.861211,0.226001,0.710708,-0.136583,2
-0.426088,0.283405,1.021855,0.703282,1.581013,2
-0.318493,-0.595716,1.362302,-1.258999,-0.767522,2
-1.083759,-0.274243,-1.059457,0.268844,-0.475408,1
-0.539509,0.287153,0.547201,-0.99817,-0.471841,1
1.459718,-1.16456,-0.945289,-0.398523,-0.279752,1
1.539755,0.405888,0.303228,-0.867036,-0.369149,1
-0.206955,2.043603,-1.394892,-0.756144,-0.386803,1
2.228481,-0.899504,-0.951722,-0.397866,-0.207327,1
0.479656,0.346573,1.44515,-1.014331,-0.517642,2
-0.776902,-1.084297,-0.339577,-1.263702,2.956269,1
